"time","mech.Px","mech.Py"
47.63,50.53774822545731,3.235087534389704
47.64,50.53371175947565,3.2232571953398814
47.65,50.529690084567434,3.2114218199513402
47.66,50.525683207016534,3.1995814267168683
47.67,50.521691133083706,3.187736034137057
47.68,50.51771386900654,3.175885660720347
47.69,50.51375142099954,3.1640303249829405
47.7,50.509803795253994,3.1521700454487895
47.71,50.50587099793811,3.1403048406495824
47.72,50.501953035196856,3.1284347291247094
47.73,50.49804991315204,3.11655972942121
47.74,50.4941616379023,3.104679860093759
47.75,50.49028821552308,3.0927951397046574
47.76,50.48642965206658,3.0809055868237802
47.77,50.482585953561816,3.069011220028546
47.78,50.47875712601456,3.0571120579039146
47.79,50.47494317540736,3.0452081190423197
47.8,50.471144107699516,3.033299422043644
47.81,50.46735992882705,3.0213859855152414
47.82,50.463590644702776,3.0094678280718536
47.83,50.45983626121617,2.9975449683356032
47.84,50.45609678423346,2.985617424935935
47.85,50.452372219597585,2.9736852165096597
47.86,50.448662573128175,2.961748361700838
47.87,50.44496785062156,2.9498068791608087
47.88,50.44128805785073,2.937860787548109
47.89,50.43762320056535,2.9259101055285477
47.9,50.43397328449179,2.9139548517750278
47.91,50.43033831533303,2.901995044967661
47.92,50.42671829876869,2.8900307037936166
47.93,50.423113240455066,2.8780618469471833
47.94,50.41952314602506,2.866088493129702
47.95,50.415948021088184,2.8541106610495284
47.96,50.41238787123058,2.8421283694220385
47.97,50.40884270201498,2.8301416369695485
47.98,50.40531251898069,2.81815048242132
47.99,50.401797327643656,2.806154924513537
48,50.39829713349634,2.7941549819892586
48.01,50.39481194200779,2.782150673598391
48.02,50.39134175862364,2.7701420180976584
48.03,50.38788658876604,2.758129034250583
48.04,50.38444643783367,2.7461117408274553
48.05,50.3810213112018,2.7340901566052978
48.06,50.37761121422216,2.7220643003678084
48.07,50.37421615222305,2.7100341909054286
48.08,50.37083613050925,2.697999847015158
48.09,50.36747115436202,2.685961287500678
48.1,50.36412122903916,2.6739185311722355
48.11,50.36078635977492,2.661871596846643
48.12,50.357466551780036,2.649820503347204
48.13,50.3541618102417,2.6377652695037774
48.14,50.350872140323574,2.6257059141526504
48.15,50.34759754716576,2.613642456136576
48.16,50.344338035884824,2.6015749143046882
48.17,50.34109361157374,2.589503307512514
48.18,50.337864279301925,2.5774276546219674
48.19,50.33465004411519,2.565347974501231
48.2,50.331450911035816,2.553264286024806
48.21,50.32826688506242,2.541176608073453
48.22,50.32509797117004,2.52908495953416
48.23,50.32194417431012,2.5169893593001404
48.24,50.31880549941046,2.504889826270748
48.25,50.315681951375225,2.4927863793515215
48.26,50.31257353508499,2.480679037454088
48.27,50.309480255396615,2.4685678194961476
48.28,50.30640211714338,2.456452744401499
48.29,50.30333912513487,2.4443338310999536
48.3,50.300291284157,2.432211098527276
48.31,50.29725859897202,2.420084565625247
48.32,50.294241074318506,2.4079542513415912
48.33,50.291238714911344,2.395820174629902
48.34,50.28825152544171,2.3836823544496717
48.35,50.2852795105771,2.371540809766259
48.36,50.282322674961264,2.3593955595508067
48.37,50.279381023214285,2.3472466227802755
48.38,50.276454559932475,2.3350940184373687
48.39,50.27354328968843,2.3229377655105345
48.4,50.270647217031026,2.3107778829939214
48.41,50.26776634648537,2.298614389887339
48.42,50.264900682552806,2.28644730519623
48.43,50.26205022971094,2.274276647931666
48.44,50.25921499241362,2.2621024371103164
48.45,50.256394975090885,2.24992469175435
48.46,50.253590182149026,2.2377434308915287
48.47,50.250800617970526,2.2255586735550565
48.48,50.248026286914076,2.2133704387835955
48.49,50.24526719331456,2.2011787456212772
48.5,50.24252334148307,2.1889836131176175
48.51,50.23979473570689,2.1767850603275107
48.52,50.237081380249435,2.164583106311177
48.53,50.23438327935035,2.1523777701341906
48.54,50.23170043722539,2.140169070867376
48.55,50.22903285806652,2.1279570275868345
48.56,50.22638054604181,2.1157416593738425
48.57,50.223743505295516,2.1035229853149673
48.58,50.221121739948,2.091301024501849
48.59,50.21851525409579,2.0790757960312938
48.6,50.215924051811484,2.066847319005234
48.61,50.213348137143875,2.0546156125306645
48.62,50.210787514117804,2.0423806957196113
48.63,50.20824218673425,2.030142587689138
48.64,50.2057121589703,2.0179013075612993
48.65,50.203197434779085,2.0056568744630567
48.66,50.200698018089895,1.9934093075263632
48.67,50.198213912808065,1.9811586258880354
48.68,50.195745122815,1.968904848689757
48.69,50.19329165196818,1.9566479950780504
48.7,50.190853504101156,1.9443880842042454
48.71,50.18843068302355,1.9321251352244637
48.72,50.18602319252099,1.9198591672995526
48.73,50.1836310363552,1.9075901995950808
48.74,50.18125421826392,1.8953182512812994
48.75,50.17889274196092,1.883043341533142
48.76,50.17654661113603,1.8707654895301502
48.77,50.17421582945505,1.8584847144564591
48.78,50.17190040055984,1.8462010355007834
48.79,50.16960032806825,1.8339144718563674
48.8,50.167315615574154,1.8216250427209566
48.81,50.16504626664741,1.8093327672967838
48.82,50.16279228483386,1.7970376647905368
48.83,50.16055367365537,1.7847397544133088
48.84,50.15833043660977,1.7724390553805627
48.85,50.156122577170855,1.7601355869121633
48.86,50.15393009878841,1.7478293682322672
48.87,50.151753004888185,1.7355204185693367
48.88,50.14959129887188,1.723208757156101
48.89,50.14744498411717,1.7108944032295348
48.9,50.14531406397767,1.6985773760308227
48.91,50.143198541782944,1.6862576948053025
48.92,50.14109842083848,1.6739353788024651
48.93,50.139013704425736,1.661610447275951
48.94,50.13694439580207,1.6492829194834435
48.95,50.13489049820078,1.6369528146867118
48.96,50.13285201483108,1.6246201521515395
48.97,50.13082894887809,1.6122849511477142
48.98,50.12882130350287,1.599947230948981
48.99,50.12682908184235,1.5876070108330183
49,50.12485228700938,1.5752643100814296
49.01,50.122890922092715,1.562919147979681
49.02,50.12094499015696,1.5505715438170675
49.03,50.11901449424266,1.5382215168867468
49.04,50.1170994373662,1.52586908648561
49.05,50.11519982251985,1.5135142719143424
49.06,50.11331565267177,1.5011570924773174
49.07,50.11144693076597,1.48879756748266
49.08,50.109593659722336,1.4764357162421007
49.09,50.10775584243659,1.4640715580710264
49.1,50.105933481780326,1.4517051122884475
49.11,50.10412658060098,1.4393363982169411
49.12,50.10233514172185,1.4269654351825878
49.13,50.100559167942045,1.414592242515024
